Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/04/2009	16:59:33	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	95.108.142.7			http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0	524	164	437	3682	2397	0	0	0					0	0	0	524	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	o3OHECuL/EGHh6pe4605XQ	0	-1	-1	100	94	0	-1	-1	100	100	100	0	0				1024	0	0	0	86	0	
06/04/2009	16:59:33	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	95.108.142.7	GET	zelo.yandex.ru	/test-direct-show/yandsearch-old.html	200	34	29	135	565	1024	776	0	0			text/html	gzip	3	4	1	169	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	o3OHECuL/EGHh6pe4605XQ	1	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	76	55		1024	0	0	0	0	0	
06/04/2009	16:59:33	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	clck.yandex.ru	/click/dtype=stred/pid=1/cid=1071/*http://www.yandex.ru/	0	0	0	0	0	0	0	0	0					3	5	1	0	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	o3OHECuL/EGHh6pe4605XQ	2	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/04/2009	16:59:33	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	suggest.yandex.ru	/tsuggest-1.5b3.html	304	13	13	479	684	250	196	0	0					3	18	1	492	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	o3OHECuL/EGHh6pe4605XQ	3	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	5	12		0	0	0	0	0	0	
06/04/2009	16:59:33	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	im3-tub.yandex.net	/i?id=32145730&tov=3	304	13	13	480	403	101	47	0	0					3	19	1	493	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	o3OHECuL/EGHh6pe4605XQ	4	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	3	8		0	0	0	0	0	0	
06/04/2009	16:59:33	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_serp/0	200	38	38	483	423	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	20	1	521	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	o3OHECuL/EGHh6pe4605XQ	5	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0	3	8		0	0	0	0	43	0	
06/04/2009	16:59:33	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	favicon.yandex.net	/favicon/www.taxiglobal.ru	304	10	10	484	409	151	97	0	0					3	21	1	494	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	o3OHECuL/EGHh6pe4605XQ	6	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	3	5		0	0	0	0	0	0	
06/04/2009	16:59:33	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	213.180.204.36	GET	favicon.yandex.net	/favicon/www.taxi-t.ru	304	36	36	485	405	151	97	0	0					3	22	1	521	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	o3OHECuL/EGHh6pe4605XQ	7	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0		6		0	0	0	0	0	0	
06/04/2009	16:59:33	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	77.88.21.14	GET	clck.yandex.ru	/click/dtype=stred/pid=1/cid=1072/*http://www.yandex.ru/	200	37	37	486	385	131	43	0	0		no-cache	image/gif		3	23	1	523	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	o3OHECuL/EGHh6pe4605XQ	8	-1	-1	-1	100	0	-1	-1	-1	100	100	0	0		6		0	0	0	0	43	0	
06/04/2009	16:59:33	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	favicon.yandex.net	/favicon/www.taxi-reno.ru	304	30	30	494	408	151	97	0	0					3	21	1	524	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	o3OHECuL/EGHh6pe4605XQ	9	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
