Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/16/2009	15:45:44	Cleared Cache-Run_1^http://lenta.ru	81.19.85.116			http://lenta.ru	0	1649	1133	1190	2192	588265	0	0	0					0	0	0	1649	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	DMuQ4OfPu0CO4SOWYB790Q	0	1	0	97	95	96	-1	100	95	80	13	0	0				51343	1483	744	0	503891	98128	
06/16/2009	15:45:44	Cleared Cache-Run_1^http://lenta.ru	81.19.85.116	GET	lenta.ru	/	200	1015	1006	127	16	36652	36439	0	0			text/html	gzip	3	3	1	1142	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	DMuQ4OfPu0CO4SOWYB790Q	1	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	125	2		36652	0	0	0	0	0	
06/16/2009	15:45:44	Cleared Cache-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/style.css	200	2	1	1143	16	6114	5830	0	0			text/css	gzip	3	5	1	1145	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	DMuQ4OfPu0CO4SOWYB790Q	2	0	0	100	100	100	-1	-1	0	-1	0	0	0	5	1		6114	0	0	0	0	0	
06/16/2009	15:45:44	Cleared Cache-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/ts.css	200	2	2	1143	16	2041	1757	0	0			text/css	gzip	3	6	1	1145	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	DMuQ4OfPu0CO4SOWYB790Q	3	0	0	100	100	100	-1	-1	0	-1	0	0	0		1		2041	0	0	0	0	0	
06/16/2009	15:45:44	Cleared Cache-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/flag.gif	200	2	2	1157	16	2126	1894	0	0			image/gif		3	6	1	1159	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	DMuQ4OfPu0CO4SOWYB790Q	4	0	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	1894	0	
06/16/2009	15:45:44	Cleared Cache-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/logowrambler.gif	200	2	2	1157	16	3750	3518	0	0			image/gif		3	5	1	1159	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	DMuQ4OfPu0CO4SOWYB790Q	5	0	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	3518	0	
06/16/2009	15:45:44	Cleared Cache-Run_1^http://lenta.ru	81.19.66.130	GET	ad2.rambler.ru	/lenta.ban?pg=5374&ifr=1	200	24	3	1164	16	2935	2614	0	0			text/html		3	8	1	1188	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	DMuQ4OfPu0CO4SOWYB790Q	6	-1	-1	0	100	0	-1	-1	-1	-1	100	0	0	4	1		2935	1483	0	0	0	0	
06/16/2009	15:45:44	Cleared Cache-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/refresh.gif	200	1	1	1160	16	287	58	0	0			image/gif		3	6	1	1161	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	DMuQ4OfPu0CO4SOWYB790Q	7	0	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	58	0	
06/16/2009	15:45:44	Cleared Cache-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/arrow.gif	200	2	2	1160	16	287	58	0	0			image/gif		3	5	1	1162	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	DMuQ4OfPu0CO4SOWYB790Q	8	0	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	58	0	
06/16/2009	15:45:44	Cleared Cache-Run_1^http://lenta.ru	81.19.66.180	GET	images.rambler.ru	/upl/lenta/2009/06/15/kia_dealers_728x90_lenta_ru.gif	200	22	11	1207	16	15330	15017	29	1	Mon, 14 Sep 2009 11:45:53 GMT	max-age=7776000	image/gif		3	11	1	1229	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	DMuQ4OfPu0CO4SOWYB790Q	9	100	0	-1	0	100	-1	-1	-1	100	100	0	0	2	2		0	0	0	0	15017	0	7776000
06/16/2009	15:45:44	Cleared Cache-Run_1^http://lenta.ru	81.222.128.14	GET	ad.adriver.ru	/cgi-bin/rle.cgi?sid=1&bt=21&ad=171726&pid=324133&bid=618868&bn=618868&rnd=295936744&tail256=unknown	302	28	12	1219	16	532	0	0	0	Thu, 01 Jan 1970 00:00:00 GMT	no-cache, max-age=0, must-revalidate, no-store	text/html		3	12	1	1247	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	DMuQ4OfPu0CO4SOWYB790Q	10	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	2	12		0	0	0	0	0	0	
06/16/2009	15:45:44	Cleared Cache-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/news/2009/06/16/rallies/picture--240.jpg	200	12	2	1205	16	15847	15612	0	0			image/jpeg		3	6	1	1217	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	DMuQ4OfPu0CO4SOWYB790Q	11	0	0	-1	100	100	-1	-1	-1	50	0	0	0				0	0	0	0	15612	2421	
06/16/2009	15:45:44	Cleared Cache-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/news/2009/06/16/timoshenko/picture--113.jpg	200	12	2	1206	16	2903	2670	0	0			image/jpeg		3	5	1	1218	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	DMuQ4OfPu0CO4SOWYB790Q	12	0	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	2670	0	
06/16/2009	15:45:44	Cleared Cache-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/ed.gif	200	30	18	1230	16	374	144	0	0			image/gif		3	6	1	1260	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	DMuQ4OfPu0CO4SOWYB790Q	13	0	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	144	0	
06/16/2009	15:45:44	Cleared Cache-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/articles/2009/06/16/tehran/picture--113.jpg	200	30	18	1230	16	7501	7267	0	0			image/jpeg		3	5	1	1260	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	DMuQ4OfPu0CO4SOWYB790Q	14	0	0	-1	100	100	-1	-1	-1	0	0	0	0				0	0	0	0	7267	3197	
06/16/2009	15:45:44	Cleared Cache-Run_1^http://lenta.ru	81.19.66.130	GET	ad2.rambler.ru	/lenta.ban?pg=5309&ifr=1	200	35	30	1248	16	591	378	29	1			text/html		3	13	1	1283	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	DMuQ4OfPu0CO4SOWYB790Q	15	-1	-1	100	50	0	-1	-1	-1	-1	100	0	0		17		591	0	0	0	0	0	
06/16/2009	15:45:44	Cleared Cache-Run_1^http://lenta.ru	81.222.128.14	GET	ad.adriver.ru	/cgi-bin/rle.cgi?sid=1&bt=21&ad=171726&pid=324133&bid=618868&bn=618868&rnd=295936744&tail256=unknown&tuid=-5603881109	204	51	17	1279	16	381	0	15	1	Thu, 01 Jan 1970 00:00:00 GMT	no-cache, max-age=0, must-revalidate, no-store			3	14	1	1330	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	DMuQ4OfPu0CO4SOWYB790Q	16	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0		30		0	0	0	0	0	0	
06/16/2009	15:45:44	Cleared Cache-Run_1^http://lenta.ru	83.222.3.160	GET	www.medportal.ru	/common/16060994--150.jpg	301	3	3	1285	16	430	187	0	0		no-cache	text/html		3	16	1	1288	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	DMuQ4OfPu0CO4SOWYB790Q	17	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	8	10		0	0	0	0	0	0	
06/16/2009	15:45:44	Cleared Cache-Run_1^http://lenta.ru	83.222.3.160	GET	www.medportal.ru	/common/16060953--150.jpg	301	2	2	1285	16	430	187	0	0		no-cache	text/html		3	17	1	1287	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	DMuQ4OfPu0CO4SOWYB790Q	18	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0		10		0	0	0	0	0	0	
