Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/16/2009	14:00:41	Cleared Cache-Run_1^090616_1C.pts_Step1	87.250.251.11			http://yandex.ru/yandsearch?text=%F4%E5%F0%EC%F3%E0%F0&i-m-a-hacker=1	0	420	132	441	368	62260	0	0	0					0	0	0	420		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%F4%E5%F0%EC%F3%E0%F0&i-m-a-hacker=1	202	1	0	VA5qj1b9Y0uTPyJFsMMuAg	0	44	0	100	84	94	-1	100	100	99	86	0	0				26093	0	6048	0	30763	72	
06/16/2009	14:00:41	Cleared Cache-Run_1^090616_1C.pts_Step1	87.250.251.11	GET	yandex.ru	/yandsearch?text=%F4%E5%F0%EC%F3%E0%F0&i-m-a-hacker=1	200	144	5	127	16	7952	7521	0	0	Tue, 16 Jun 2009 11:00:48 GMT	private, max-age=3600	text/html	gzip	3	3	1	271		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%F4%E5%F0%EC%F3%E0%F0&i-m-a-hacker=1	202	1	0	VA5qj1b9Y0uTPyJFsMMuAg	1	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	125	1		7952	0	0	0	0	0	
06/16/2009	14:00:41	Cleared Cache-Run_1^090616_1C.pts_Step1	213.180.204.45	GET	css.yandex.net	/css/search/r15/_serp.ie.css	200	13	1	278	16	6990	6692	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	text/css	gzip	3	5	1	291		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%F4%E5%F0%EC%F3%E0%F0&i-m-a-hacker=1	202	1	0	VA5qj1b9Y0uTPyJFsMMuAg	2	100	0	100	100	100	-1	-1	100	-1	100	0	0	1	0		6990	0	0	0	0	0	315360000
06/16/2009	14:00:41	Cleared Cache-Run_1^090616_1C.pts_Step1	213.180.204.45	GET	css.yandex.net	/css/search/r15/_serp.js	200	13	1	278	16	6048	5734	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	application/x-javascript	gzip	3	6	1	291		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%F4%E5%F0%EC%F3%E0%F0&i-m-a-hacker=1	202	1	0	VA5qj1b9Y0uTPyJFsMMuAg	3	100	0	100	100	100	-1	100	100	-1	100	0	0		0		6048	0	6048	0	0	0	315360000
06/16/2009	14:00:41	Cleared Cache-Run_1^090616_1C.pts_Step1	93.158.134.44	GET	img.yandex.net	/i/logo95x37x8.png	200	1	1	315	16	1691	1400	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	image/png		3	8	1	316		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%F4%E5%F0%EC%F3%E0%F0&i-m-a-hacker=1	202	1	0	VA5qj1b9Y0uTPyJFsMMuAg	4	100	0	-1	100	100	-1	-1	-1	100	100	0	0	0	2		0	0	0	0	1400	0	315360000
06/16/2009	14:00:41	Cleared Cache-Run_1^090616_1C.pts_Step1	77.88.21.96	GET	lego.static.yandex.net	/2.0/common/block/b-head-search/arrow/b-head-search.arrow.png	200	2	2	317	16	638	349	0	0	Thu, 25 Apr 2019 10:00:49 GMT	max-age=311040000	image/png		3	10	1	319		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%F4%E5%F0%EC%F3%E0%F0&i-m-a-hacker=1	202	1	0	VA5qj1b9Y0uTPyJFsMMuAg	5	100	0	-1	100	100	-1	-1	-1	100	0	0	0	0	1		0	0	0	0	349	0	311040000
06/16/2009	14:00:41	Cleared Cache-Run_1^090616_1C.pts_Step1	77.88.21.63	GET	suggest.yandex.ru	/tsuggest-1.5b3.html	200	31	2	321	16	5103	4841	26	1			text/html	gzip	3	12	1	352		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%F4%E5%F0%EC%F3%E0%F0&i-m-a-hacker=1	202	1	0	VA5qj1b9Y0uTPyJFsMMuAg	6	-1	-1	100	50	-1	-1	-1	-1	-1	0	0	0	1	1		5103	0	0	0	0	0	
06/16/2009	14:00:41	Cleared Cache-Run_1^090616_1C.pts_Step1	217.73.200.169	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_serp/0	302	55	31	326	16	607	43	0	0	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	14	1	381		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%F4%E5%F0%EC%F3%E0%F0&i-m-a-hacker=1	202	1	0	VA5qj1b9Y0uTPyJFsMMuAg	7	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	0	2		0	0	0	0	0	0	
06/16/2009	14:00:41	Cleared Cache-Run_1^090616_1C.pts_Step1	213.180.204.91	GET	yabs.yandex.ru	/resource/cl.gif	200	10	1	326	16	284	73	26	1			image/gif		3	16	1	336		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%F4%E5%F0%EC%F3%E0%F0&i-m-a-hacker=1	202	1	0	VA5qj1b9Y0uTPyJFsMMuAg	8	0	0	-1	0	100	-1	-1	-1	100	100	0	0	0	1		0	0	0	0	73	0	
06/16/2009	14:00:41	Cleared Cache-Run_1^090616_1C.pts_Step1	213.180.204.91	GET	yabs.yandex.ru	/count/5HCE6L9bIem40X00Zh3LTgC4KfK2cmTiFoq1YArJzWMIeRc71ugjRxG4ZG6Ge1y2tf6pC48P29E53Okh33yTGNm6?rnd=353570329	302	30	10	326	16	498	0	26	1	Tue, 16 Jun 2009 10:00:49 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	17	1	356		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%F4%E5%F0%EC%F3%E0%F0&i-m-a-hacker=1	202	1	0	VA5qj1b9Y0uTPyJFsMMuAg	9	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0		1		0	0	0	0	0	0	
